trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
285,1.050754,-0.926181,0.972490,8,-1015,1.261444,5,1.947900,526.410000,-70.568000,7.460000,0.950000
286,1.090595,-1.034786,1.086525,9,-990,0.706178,4,1.947900,549.440000,-71.979000,7.633000,0.950000
287,1.037507,-0.855570,0.926618,5,-952,0.922168,5,1.947900,518.620000,-70.085000,7.400000,0.950000
288,0.955927,-0.851017,1.023973,5,-1120,0.680064,3,1.947900,469.540000,-66.947000,7.014000,0.950000
289,0.949659,-0.977095,1.025949,8,-901,1.014109,5,1.947900,465.710000,-66.693000,6.983000,0.950000
290,0.904366,-0.994495,1.044219,5,-680,1.213994,7,1.947900,437.850000,-64.811000,6.756000,0.950000
291,0.904454,-1.020108,1.071113,5,-1229,1.094825,7,1.947900,437.900000,-64.815000,6.756000,0.950000
292,1.096201,-0.854077,0.973647,5,-717,0.860338,7,1.947900,552.630000,-72.172000,7.657000,0.950000
293,0.903246,-0.975895,1.091768,5,-983,1.368612,5,1.947900,437.150000,-64.763000,6.750000,0.950000
294,0.926184,-0.856861,1.122289,5,-1002,0.665836,5,1.947900,451.300000,-65.730000,6.866000,0.950000
295,1.086021,-0.990717,1.129927,5,-1003,1.274748,5,1.947900,546.830000,-71.820000,7.614000,0.950000
296,0.955897,-1.095576,1.150355,5,-1380,0.741695,4,1.947900,469.520000,-66.945000,7.014000,0.950000
297,0.906214,-0.957876,1.005770,7,-744,1.128452,4,1.947900,438.990000,-64.890000,6.765000,0.950000
298,0.971044,-0.945112,1.054375,5,-888,1.269277,5,1.947900,478.760000,-67.550000,7.087000,0.950000
299,0.942766,-1.108827,1.164268,5,-995,0.692159,4,1.947900,461.490000,-66.413000,6.949000,0.950000
