trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
229,2.338369,-0.055235,0.839576,40,0.002435,0.084957,681,2.695300,1115.510000,-34.635000,32.207000,0.700700
230,2.091335,-0.064964,0.973399,34,0.003804,0.069341,434,1.771900,276.430000,-44.167000,6.259000,1.524200
231,2.231314,-0.068893,0.775434,32,0.003045,0.112316,483,2.100300,593.720000,-51.918000,11.436000,1.613700
232,2.153903,-0.064447,0.865317,32,0.002269,0.083524,708,2.420000,696.490000,-31.678000,21.987000,0.670100
233,2.359198,-0.062561,0.951409,40,0.002788,0.083042,964,2.536000,806.730000,-36.080000,22.359000,0.717400
234,2.088185,-0.064137,0.968735,31,0.002924,0.068440,539,1.926600,331.230000,-38.740000,8.550000,1.180200
235,2.184084,-0.056210,0.979936,39,0.003727,0.073154,590,2.845600,1022.550000,-33.558000,30.471000,0.795900
236,2.092080,-0.053431,1.019826,34,0.002339,0.114960,662,2.272500,699.900000,-45.310000,15.447000,0.975100
237,1.995451,-0.053915,0.937598,38,0.002306,0.120052,922,2.864500,1452.610000,-41.433000,35.059000,1.320000
238,2.353288,-0.055098,0.778645,39,0.002534,0.098562,870,2.966300,2097.450000,-36.087000,58.121000,0.663100
239,2.036449,-0.065055,1.018398,37,0.002859,0.117121,736,2.999500,1762.820000,-43.144000,40.859000,0.742500
240,2.307699,-0.065769,0.967325,33,0.002083,0.071160,722,1.983700,369.810000,-34.962000,10.578000,0.875400
241,2.202322,-0.061488,0.871677,38,0.003992,0.071764,856,3.097300,1265.460000,-32.116000,39.403000,0.743600
242,2.278308,-0.060416,0.815903,38,0.004106,0.105972,961,3.077400,2516.260000,-40.594000,61.986000,0.705700
243,2.413042,-0.057337,0.937320,35,0.004168,0.060754,670,2.940100,1055.740000,-34.458000,30.638000,0.801400
244,2.365237,-0.056113,0.977704,34,0.004152,0.117614,606,1.711100,319.340000,-54.437000,5.866000,1.948800
245,2.318885,-0.057063,0.928718,37,0.003791,0.055760,559,3.534000,2153.560000,-26.217000,82.145000,0.716800
246,2.293244,-0.061143,0.898813,31,0.002636,0.116287,450,2.135500,670.900000,-51.437000,13.043000,1.671700
247,2.154432,-0.068013,0.778738,37,0.002418,0.116396,862,3.163200,2662.430000,-38.884000,68.472000,0.623900
248,2.369710,-0.054887,0.908449,38,0.002390,0.070614,448,2.812900,1403.480000,-42.475000,33.043000,1.002100
