EARLY_FILL_Y,EARLY_KILL_Y,VOL_LEV_MAX_BOOST,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
0.11,0.0015,1.7,2.6142,3913.78,-62.797,62.325,0.7486,False
0.11,0.0015,1.8,2.6475,4483.69,-63.947,70.116,0.739,False
0.11,0.0015,1.9,2.6608,4879.48,-65.125,74.925,0.7301,False
0.11,0.0015,2.0,2.6516,4945.34,-66.647,74.202,0.722,False
0.11,0.0015,2.5,2.6516,4945.34,-66.647,74.202,0.722,False
0.11,0.0015,3.0,2.6516,4945.34,-66.647,74.202,0.722,False
0.11,0.003,1.2,2.4818,2139.48,-56.402,37.933,0.8178,False
0.11,0.003,1.3,2.4852,2306.97,-58.495,39.439,0.8054,False
0.11,0.003,1.4,2.5131,2617.07,-59.526,43.965,0.7866,False
0.11,0.003,1.5,2.5434,2981.23,-60.589,49.204,0.7716,False
0.11,0.003,1.6,2.5806,3416.51,-61.68,55.391,0.7594,False
0.11,0.003,1.7,2.6142,3913.78,-62.797,62.325,0.7486,False
0.11,0.003,1.8,2.6475,4483.69,-63.947,70.116,0.739,False
0.11,0.003,1.9,2.6608,4879.48,-65.125,74.925,0.7301,False
0.11,0.003,2.0,2.6516,4945.34,-66.647,74.202,0.722,False
0.11,0.003,2.5,2.6516,4945.34,-66.647,74.202,0.722,False
0.11,0.003,3.0,2.6516,4945.34,-66.647,74.202,0.722,False
